dbgi_000007;_02;dbgi_000007_02;49.5;;dbgi_000033;_02;dbgi_000033_02
dbgi_000033;_02;dbgi_000033_02;49.2;;dbgi_000014;_02;dbgi_000014_02
dbgi_000014;_02;dbgi_000014_02;47.7;;dbgi_000022;_02;dbgi_000022_02
dbgi_000022;_02;dbgi_000022_02;51.1;;dbgi_000010;_02;dbgi_000010_02
dbgi_000010;_02;dbgi_000010_02;52.5;;dbgi_000027;_02;dbgi_000027_02
dbgi_000036;_02;dbgi_000036_02;52.1;;dbgi_000024;_02;dbgi_000024_02
dbgi_000027;_02;dbgi_000027_02;47.6;;dbgi_000112;_02;dbgi_000112_02
dbgi_000024;_02;dbgi_000024_02;49.7;;dbgi_000056;_02;dbgi_000056_02
dbgi_000039;_02;dbgi_000039_02;49.3;;dbgi_000053;_02;dbgi_000053_02
dbgi_000030;_02;dbgi_000030_02;52.4;;dbgi_000058;_02;dbgi_000058_02
dbgi_000112;_02;dbgi_000112_02;50.1;;dbgi_000064;_02;dbgi_000064_02
dbgi_000056;_02;dbgi_000056_02;49.8;;dbgi_000046;_02;dbgi_000046_02
dbgi_000053;_02;dbgi_000053_02;48.3;;dbgi_000033;_02;dbgi_000033_02
dbgi_000058;_02;dbgi_000058_02;50.2;;dbgi_000014;_02;dbgi_000014_02
dbgi_000092;_02;dbgi_000092_02;51.8;;dbgi_000022;_02;dbgi_000022_02
dbgi_000091;_02;dbgi_000091_02;51.8;;dbgi_000010;_02;dbgi_000010_02
dbgi_000064;_02;dbgi_000064_02;51.7;;dbgi_000027;_02;dbgi_000027_02
dbgi_000107;_02;dbgi_000107_02;49.7;;dbgi_000024;_02;dbgi_000024_02
dbgi_000046;_02;dbgi_000046_02;50;;dbgi_000112;_02;dbgi_000112_02
dbgi_000105;_02;dbgi_000105_02;50.4;;dbgi_000056;_02;dbgi_000056_02
;;;;;dbgi_000053;_02;dbgi_000053_02
;;;;;dbgi_000058;_02;dbgi_000058_02
;;;;;dbgi_000064;_02;dbgi_000064_02
;;;;;dbgi_000046;_02;dbgi_000046_02
